Date,Time Block,Hour,time,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,national_temperature,national_humidity,national_wind_speed,national_solar_radiation
2026-04-04,1,0,2026-04-04 00:00:00,4500,4400,100,4450,2500,28.5,65.2,3.2,0.0
2026-04-04,2,0,2026-04-04 00:15:00,4550,4450,105,4500,2550,28.4,65.5,3.1,0.0
2026-04-04,3,0,2026-04-04 00:30:00,4600,4500,110,4550,2600,28.3,65.8,3.0,0.0
2026-04-04,4,0,2026-04-04 00:45:00,4650,4550,115,4600,2650,28.2,66.1,2.9,0.0
2026-04-04,5,1,2026-04-04 01:00:00,4700,4600,120,4650,2700,28.1,66.4,2.8,0.0
2026-04-04,6,1,2026-04-04 01:15:00,4750,4650,125,4700,2750,28.0,66.7,2.7,0.0
2026-04-04,7,1,2026-04-04 01:30:00,4800,4700,130,4750,2800,27.9,67.0,2.6,0.0
2026-04-04,8,1,2026-04-04 01:45:00,4850,4750,135,4800,2850,27.8,67.3,2.5,0.0
2026-04-04,9,2,2026-04-04 02:00:00,4900,4800,140,4850,2900,27.7,67.6,2.4,0.0
2026-04-04,10,2,2026-04-04 02:15:00,4950,4850,145,4900,2950,27.6,67.9,2.3,0.0
2026-04-04,11,2,2026-04-04 02:30:00,5000,4900,150,4950,3000,27.5,68.2,2.2,0.0
2026-04-04,12,2,2026-04-04 02:45:00,5050,4950,155,5000,3050,27.4,68.5,2.1,0.0
2026-04-04,13,3,2026-04-04 03:00:00,5100,5000,160,5050,3100,27.3,68.8,2.0,0.0
2026-04-04,14,3,2026-04-04 03:15:00,5150,5050,165,5100,3150,27.2,69.1,1.9,0.0
2026-04-04,15,3,2026-04-04 03:30:00,5200,5100,170,5150,3200,27.1,69.4,1.8,0.0
2026-04-04,16,3,2026-04-04 03:45:00,5250,5150,175,5200,3250,27.0,69.7,1.7,0.0
2026-04-04,17,4,2026-04-04 04:00:00,5300,5200,180,5250,3300,26.9,70.0,1.6,0.0
2026-04-04,18,4,2026-04-04 04:15:00,5350,5250,185,5300,3350,26.8,70.3,1.5,0.0
2026-04-04,19,4,2026-04-04 04:30:00,5400,5300,190,5350,3400,26.7,70.6,1.4,0.0
2026-04-04,20,4,2026-04-04 04:45:00,5450,5350,195,5400,3450,26.6,70.9,1.3,0.0
